search_id,split,a,b,y,time_diff,distance_diff,intersection_weighted_diff,merge_weighted_diff,narrow_weighted_diff,turn_weighted_diff,consecutive_weighted_diff,child_100m_weighted_diff,sample_weight,m_time,m_distance
0,train,2,0,1,0.0,-201.21409044804886,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,1
0,train,1,2,0,180.0,52.64692147391497,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,1
1,train,2,0,1,-117.11112697385872,-721.7845784005768,0.3333333333333333,172.97833388071442,-124.76548716779412,0.0,0.0,23.56936479494987,0.5,0.9759260581154893,0.995677200433284
1,train,2,1,1,0.0,-700.2167644493151,0.0,200.93269564681557,-402.5854585132246,0.0,0.0,4.06924909189927,0.5,0.9759260581154893,0.995677200433284
2,train,1,0,1,-59.95939965015904,-887.6616830327864,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9993233275026507,0.9998646288547973
2,train,2,1,0,-179.87819895047713,131.69753184787,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9993233275026507,0.9998646288547973
3,train,1,0,0,61.15631856554487,279.5755598918727,0.0,224.92428164949817,0.0,-0.4,0.10000000000000003,5.081461412310939,0.5,1.0192719760924145,1.0074737067491204
3,train,0,2,1,-122.31263713108974,-900.4425425651445,0.0,-115.56528625712113,0.0,0.4,-0.2,-154.8332001880413,0.5,1.0192719760924145,1.0074737067491204
4,train,0,1,0,-243.0736958245388,-298.3528879607046,0.2,308.9209290784655,0.0,0.20000000000000004,-0.40000000000000036,0.0,0.5,1.0128070659355783,0.9970260641428296
4,train,1,2,1,-121.5368479122694,-677.3821881143427,-0.4000000000000001,-113.60561658834567,0.0,-0.1,-1.1999999999999997,0.0,0.5,1.0128070659355783,0.9970260641428296
5,train,0,1,0,0.0,621.4002229921858,-0.26666666666666666,0.0,124.23434590675163,0.3333333333333333,-0.2666666666666666,2.8088391191317683,0.5,0.9890941002649628,1.001625884022936
5,train,2,1,0,237.38258406359108,722.9413223936834,-0.13333333333333333,0.0,-32.064639123388204,0.0,0.8,0.5669868035480903,0.5,0.9890941002649628,1.001625884022936
6,validation,0,2,0,-58.985204621189894,193.3992672210183,0.0,195.758393506699,0.0,-0.13333333333333333,2.0,4.927386533970221,0.5,0.9830867436864982,0.9964862995176282
6,validation,1,2,0,176.95561386356968,194.7053274494929,0.2,143.57863967065066,0.0,-0.13333333333333333,0.6666666666666666,-40.91102829186605,0.5,0.9830867436864982,0.9964862995176282
7,train,1,0,0,242.8434531940359,580.8714778716234,0.33333333333333337,0.0,-138.36683198699455,0.0,0.0,0.0,0.5,1.0118477216418162,0.9987823191973281
7,train,2,0,0,303.5543164925449,1023.4482793182759,0.0,0.0,220.85888315150225,0.0,0.0,0.0,0.5,1.0118477216418162,0.9987823191973281
8,train,2,0,1,60.95793635373249,-581.1680712769715,0.0,0.0,-56.423361117111156,0.0,0.0,0.0,0.5,1.0159656058955415,0.9982416037801811
8,train,2,1,1,-121.91587270746498,-1456.6665675979345,-0.3333333333333333,0.0,-166.72030235716772,0.0,0.5,0.0,0.5,1.0159656058955415,0.9982416037801811
9,train,2,0,1,-182.10793439825403,828.4895212483955,0.0,-378.5521933624707,-1004.6431512765762,0.0,0.0,0.0,0.5,1.0117107466569668,1.0017614936235477
